Country Name;Country Code;Year;Value
Nigeria;NGA;2016;185989640
Northern Mariana Islands;MNP;2016;55023
Norway;NOR;2016;5232929
Oman;OMN;2016;4424762
Pakistan;PAK;2016;193203476
Palau;PLW;2016;21503
Panama;PAN;2016;4034119
Papua New Guinea;PNG;2016;8084991
Paraguay;PRY;2016;6725308
Peru;PER;2016;31773839
Philippines;PHL;2016;103320222
Poland;POL;2016;37948016
Portugal;PRT;2016;10324611
Puerto Rico;PRI;2016;3411307
Qatar;QAT;2016;2569804
Romania;ROU;2016;19705301
Russian Federation;RUS;2016;144342396
Rwanda;RWA;2016;11917508
Samoa;WSM;2016;195125
San Marino;SMR;2016;33203
Sao Tome and Principe;STP;2016;199910
Saudi Arabia;SAU;2016;32275687
Senegal;SEN;2016;15411614
Serbia;SRB;2016;7057412
Seychelles;SYC;2016;94677
Sierra Leone;SLE;2016;7396190
Singapore;SGP;2016;5607283
Sint Maarten (Dutch part);SXM;2016;40005
Slovak Republic;SVK;2016;5428704
Slovenia;SVN;2016;2064845
Solomon Islands;SLB;2016;599419
Somalia;SOM;2016;14317996
South Africa;ZAF;2016;55908865
South Sudan;SSD;2016;12230730
Spain;ESP;2016;46443959
Sri Lanka;LKA;2016;21203000
St. Kitts and Nevis;KNA;2016;54821
St. Lucia;LCA;2016;178015
St. Martin (French part);MAF;2016;31949
St. Vincent and the Grenadines;VCT;2016;109643
Sudan;SDN;2016;39578828
Suriname;SUR;2016;558368
Swaziland;SWZ;2016;1343098
Sweden;SWE;2016;9903122
Switzerland;CHE;2016;8372098
Syrian Arab Republic;SYR;2016;18430453
Tajikistan;TJK;2016;8734951
Tanzania;TZA;2016;55572201
Thailand;THA;2016;68863514
Timor-Leste;TLS;2016;1268671
Togo;TGO;2016;7606374
Tonga;TON;2016;107122
Trinidad and Tobago;TTO;2016;1364962
Tunisia;TUN;2016;11403248
Turkey;TUR;2016;79512426
Turkmenistan;TKM;2016;5662544
Turks and Caicos Islands;TCA;2016;34900
Tuvalu;TUV;2016;11097
Uganda;UGA;2016;41487965
Ukraine;UKR;2016;45004645
United Arab Emirates;ARE;2016;9269612
United Kingdom;GBR;2016;65637239
United States;USA;2016;323127513
Uruguay;URY;2016;3444006
Uzbekistan;UZB;2016;31848200
Vanuatu;VUT;2016;270402
Venezuela, RB;VEN;2016;31568179
Vietnam;VNM;2016;92701100
Virgin Islands (U.S.);VIR;2016;102951
West Bank and Gaza;PSE;2016;4551566
Yemen, Rep.;YEM;2016;27584213
Zambia;ZMB;2016;16591390
Zimbabwe;ZWE;2016;16150362
